             kx             ky    energy_plus   energy_minus
         -0.919          0.010         -4.664          7.582
         -0.919          0.030         -4.654          7.555
         -0.919          0.051         -4.634          7.500
         -0.919          0.071         -4.604          7.419
         -0.919          0.091         -4.564          7.313
         -0.919          0.111         -4.514          7.182
         -0.919          0.131         -4.455          7.028
         -0.919          0.152         -4.386          6.853
         -0.919          0.172         -4.308          6.659
         -0.919          0.192         -4.221          6.448
         -0.919          0.212         -4.127          6.222
         -0.919          0.232         -4.024          5.984
         -0.919          0.253         -3.915          5.737
         -0.919          0.273         -3.799          5.483
         -0.919          0.293         -3.679          5.226
         -0.919          0.313         -3.555          4.970
         -0.919          0.333         -3.429          4.717
         -0.919          0.354         -3.303          4.473
         -0.919          0.374         -3.180          4.240
         -0.919          0.394         -3.063          4.025
         -0.919          0.414         -2.955          3.831
         -0.919          0.434         -2.860          3.665
         -0.919          0.455         -2.782          3.532
         -0.919          0.475         -2.725          3.436
         -0.919          0.495         -2.693          3.382
         -0.919          0.515         -2.688          3.374
         -0.919          0.535         -2.712          3.413
         -0.919          0.556         -2.763          3.499
         -0.919          0.576         -2.840          3.631
         -0.919          0.596         -2.940          3.805
         -0.919          0.616         -3.060          4.019
         -0.919          0.636         -3.194          4.267
         -0.919          0.657         -3.341          4.545
         -0.919          0.677         -3.496          4.850
         -0.919          0.697         -3.655          5.178
         -0.919          0.717         -3.818          5.524
         -0.919          0.737         -3.981          5.885
         -0.919          0.758         -4.142          6.257
         -0.919          0.778         -4.300          6.639
         -0.919          0.798         -4.454          7.025
         -0.919          0.818         -4.602          7.414
         -0.919          0.838         -4.744          7.803
         -0.919          0.859         -4.880          8.187
         -0.919          0.879         -5.008          8.565
         -0.919          0.899         -5.128          8.933
         -0.919          0.919         -5.240          9.287
         -0.919          0.939         -5.344          9.626
         -0.919          0.960         -5.438          9.946
         -0.919          0.980         -5.524         10.245
         -0.919          1.000         -5.601         10.518
  
         -0.899         -1.000         -5.714         10.935
         -0.899         -0.980         -5.638         10.651
         -0.899         -0.960         -5.552         10.342
         -0.899         -0.939         -5.457         10.010
         -0.899         -0.919         -5.353          9.658
         -0.899         -0.899         -5.241          9.289
         -0.899         -0.879         -5.120          8.907
         -0.899         -0.859         -4.991          8.514
         -0.899         -0.838         -4.854          8.114
         -0.899         -0.818         -4.710          7.709
         -0.899         -0.798         -4.560          7.302
         -0.899         -0.778         -4.403          6.898
         -0.899         -0.758         -4.242          6.497
         -0.899         -0.737         -4.076          6.104
         -0.899         -0.717         -3.908          5.722
         -0.899         -0.697         -3.739          5.354
         -0.899         -0.677         -3.570          5.002
         -0.899         -0.657         -3.405          4.671
         -0.899         -0.636         -3.246          4.364
         -0.899         -0.616         -3.096          4.085
         -0.899         -0.596         -2.959          3.838
         -0.899         -0.576         -2.838          3.628
         -0.899         -0.556         -2.739          3.458
         -0.899         -0.535         -2.664          3.333
         -0.899         -0.515         -2.617          3.255
         -0.899         -0.495         -2.598          3.225
         -0.899         -0.475         -2.609          3.242
         -0.899         -0.455         -2.647          3.305
         -0.899         -0.434         -2.709          3.408
         -0.899         -0.414         -2.792          3.548
         -0.899         -0.394         -2.890          3.717
         -0.899         -0.374         -3.000          3.912
         -0.899         -0.354         -3.118          4.125
         -0.899         -0.333         -3.240          4.353
         -0.899         -0.313         -3.364          4.591
         -0.899         -0.293         -3.487          4.834
         -0.899         -0.273         -3.607          5.078
         -0.899         -0.253         -3.723          5.320
         -0.899         -0.232         -3.833          5.557
         -0.899         -0.212         -3.936          5.785
         -0.899         -0.192         -4.032          6.002
         -0.899         -0.172         -4.120          6.205
         -0.899         -0.152         -4.198          6.392
         -0.899         -0.131         -4.268          6.561
         -0.899         -0.111         -4.328          6.709
         -0.899         -0.091         -4.379          6.835
         -0.899         -0.071         -4.419          6.938
