              k             kx             ky         energy
              k             kx             ky            wf1            wf2            wf3            wf4            wf5            wf6            wf7            wf8
         -2.608         -0.000         -2.608        -15.037        -13.057         -8.367         -1.660          1.905          9.598         10.822         19.968
         -2.602         -0.000         -2.602        -15.031        -13.064         -8.370         -1.651          1.893          9.599         10.820         19.974
         -2.597         -0.000         -2.597        -15.025        -13.071         -8.373         -1.642          1.882          9.601         10.817         19.980
         -2.592         -0.000         -2.592        -15.020        -13.078         -8.377         -1.634          1.870          9.603         10.814         19.986
         -2.587         -0.000         -2.587        -15.014        -13.085         -8.380         -1.625          1.859          9.605         10.812         19.993
         -2.581         -0.000         -2.581        -15.008        -13.091         -8.384         -1.616          1.848          9.607         10.809         19.999
         -2.576         -0.000         -2.576        -15.002        -13.098         -8.387         -1.608          1.836          9.609         10.806         20.005
         -2.571         -0.000         -2.571        -14.997        -13.105         -8.390         -1.599          1.825          9.611         10.804         20.011
         -2.566         -0.000         -2.566        -14.991        -13.111         -8.393         -1.591          1.814          9.612         10.801         20.017
         -2.560         -0.000         -2.560        -14.986        -13.117         -8.397         -1.583          1.804          9.614         10.798         20.023
         -2.555         -0.000         -2.555        -14.980        -13.124         -8.400         -1.574          1.793          9.616         10.795         20.029
         -2.550         -0.000         -2.550        -14.975        -13.130         -8.403         -1.566          1.782          9.618         10.793         20.034
         -2.545         -0.000         -2.545        -14.970        -13.136         -8.406         -1.558          1.772          9.620         10.790         20.040
         -2.539         -0.000         -2.539        -14.964        -13.142         -8.409         -1.550          1.762          9.622         10.787         20.046
         -2.534         -0.000         -2.534        -14.959        -13.148         -8.412         -1.542          1.752          9.624         10.784         20.052
         -2.529         -0.000         -2.529        -14.954        -13.153         -8.416         -1.535          1.742          9.626         10.781         20.057
         -2.524         -0.000         -2.524        -14.949        -13.159         -8.419         -1.527          1.732          9.628         10.778         20.063
         -2.519         -0.000         -2.519        -14.944        -13.164         -8.422         -1.519          1.722          9.630         10.775         20.068
         -2.513         -0.000         -2.513        -14.939        -13.170         -8.425         -1.512          1.712          9.632         10.772         20.074
         -2.508         -0.000         -2.508        -14.934        -13.175         -8.428         -1.504          1.703          9.634         10.769         20.079
         -2.503         -0.000         -2.503        -14.930        -13.180         -8.431         -1.497          1.693          9.636         10.766         20.085
         -2.498         -0.000         -2.498        -14.925        -13.185         -8.433         -1.490          1.684          9.638         10.763         20.090
         -2.492         -0.000         -2.492        -14.921        -13.190         -8.436         -1.483          1.675          9.640         10.760         20.095
         -2.487         -0.000         -2.487        -14.916        -13.195         -8.439         -1.476          1.666          9.642         10.757         20.100
         -2.482         -0.000         -2.482        -14.912        -13.200         -8.442         -1.469          1.657          9.644         10.754         20.105
         -2.477         -0.000         -2.477        -14.907        -13.205         -8.445         -1.462          1.648          9.646         10.751         20.111
         -2.471         -0.000         -2.471        -14.903        -13.209         -8.448         -1.455          1.640          9.648         10.748         20.116
         -2.466         -0.000         -2.466        -14.899        -13.214         -8.450         -1.448          1.631          9.651         10.745         20.121
         -2.461         -0.000         -2.461        -14.895        -13.218         -8.453         -1.442          1.623          9.653         10.742         20.125
         -2.456         -0.000         -2.456        -14.891        -13.222         -8.456         -1.436          1.615          9.655         10.738         20.130
         -2.450         -0.000         -2.450        -14.887        -13.226         -8.458         -1.429          1.607          9.657         10.735         20.135
         -2.445         -0.000         -2.445        -14.884        -13.230         -8.461         -1.423          1.599          9.659         10.732         20.140
         -2.440         -0.000         -2.440        -14.880        -13.234         -8.464         -1.417          1.592          9.661         10.729         20.145
         -2.435         -0.000         -2.435        -14.876        -13.238         -8.466         -1.411          1.584          9.664         10.725         20.149
         -2.429         -0.000         -2.429        -14.873        -13.241         -8.469         -1.405          1.577          9.666         10.722         20.154
         -2.424         -0.000         -2.424        -14.870        -13.245         -8.471         -1.399          1.570          9.668         10.719         20.158
         -2.419         -0.000         -2.419        -14.866        -13.248         -8.474         -1.394          1.563          9.670         10.715         20.163
         -2.414         -0.000         -2.414        -14.863        -13.251         -8.476         -1.388          1.556          9.673         10.712         20.167
         -2.409         -0.000         -2.409        -14.860        -13.254         -8.478         -1.383          1.549          9.675         10.708         20.171
         -2.403         -0.000         -2.403        -14.857        -13.257         -8.481         -1.378          1.542          9.677         10.705         20.176
         -2.398         -0.000         -2.398        -14.854        -13.260         -8.483         -1.373          1.536          9.680         10.702         20.180
         -2.393         -0.000         -2.393        -14.851        -13.263         -8.486         -1.368          1.530          9.682         10.698         20.184
         -2.388         -0.000         -2.388        -14.849        -13.265         -8.488         -1.363          1.524          9.685         10.695         20.188
         -2.382         -0.000         -2.382        -14.846        -13.268         -8.490         -1.358          1.518          9.687         10.691         20.192
         -2.377         -0.000         -2.377        -14.844        -13.270         -8.492         -1.353          1.512          9.689         10.688         20.196
         -2.372         -0.000         -2.372        -14.841        -13.272         -8.494         -1.349          1.506          9.692         10.684         20.200
         -2.367         -0.000         -2.367        -14.839        -13.274         -8.497         -1.345          1.501          9.694         10.681         20.204
         -2.361         -0.000         -2.361        -14.837        -13.276         -8.499         -1.340          1.496          9.697         10.677         20.208
         -2.356         -0.000         -2.356        -14.835        -13.278         -8.501         -1.336          1.491          9.699         10.673         20.211
         -2.351         -0.000         -2.351        -14.833        -13.280         -8.503         -1.332          1.486          9.702         10.670         20.215
         -2.346         -0.000         -2.346        -14.831        -13.281         -8.505         -1.329          1.481          9.704         10.666         20.219
         -2.340         -0.000         -2.340        -14.829        -13.283         -8.507         -1.325          1.476          9.707         10.662         20.222
         -2.335         -0.000         -2.335        -14.828        -13.284         -8.509         -1.321          1.472          9.709         10.659         20.226
         -2.330         -0.000         -2.330        -14.826        -13.285         -8.511         -1.318          1.468          9.712         10.655         20.229
         -2.325         -0.000         -2.325        -14.825        -13.286         -8.513         -1.315          1.464          9.715         10.651         20.232
         -2.320         -0.000         -2.320        -14.824        -13.287         -8.515         -1.311          1.460          9.717         10.648         20.236
         -2.314         -0.000         -2.314        -14.822        -13.288         -8.517         -1.308          1.456          9.720         10.644         20.239
         -2.309         -0.000         -2.309        -14.821        -13.288         -8.518         -1.306          1.452          9.723         10.640         20.242
         -2.304         -0.000         -2.304        -14.820        -13.289         -8.520         -1.303          1.449          9.725         10.636         20.245
         -2.299         -0.000         -2.299        -14.819        -13.289         -8.522         -1.300          1.446          9.728         10.632         20.248
         -2.293         -0.000         -2.293        -14.819        -13.289         -8.524         -1.298          1.443          9.731         10.629         20.251
         -2.288         -0.000         -2.288        -14.818        -13.289         -8.525         -1.296          1.440          9.734         10.625         20.254
         -2.283         -0.000         -2.283        -14.817        -13.289         -8.527         -1.293          1.437          9.736         10.621         20.257
         -2.278         -0.000         -2.278        -14.817        -13.289         -8.529         -1.291          1.435          9.739         10.617         20.260
         -2.272         -0.000         -2.272        -14.817        -13.289         -8.530         -1.290          1.433          9.742         10.613         20.262
         -2.267         -0.000         -2.267        -14.816        -13.288         -8.532         -1.288          1.431          9.745         10.609         20.265
         -2.262         -0.000         -2.262        -14.816        -13.288         -8.533         -1.286          1.429          9.748         10.605         20.268
         -2.257         -0.000         -2.257        -14.816        -13.287         -8.535         -1.285          1.427          9.751         10.601         20.270
         -2.251         -0.000         -2.251        -14.816        -13.286         -8.536         -1.284          1.425          9.753         10.597         20.273
         -2.246         -0.000         -2.246        -14.817        -13.286         -8.537         -1.282          1.424          9.756         10.593         20.275
         -2.241         -0.000         -2.241        -14.817        -13.285         -8.539         -1.281          1.423          9.759         10.589         20.277
         -2.236         -0.000         -2.236        -14.817        -13.283         -8.540         -1.281          1.422          9.762         10.585         20.279
         -2.231         -0.000         -2.231        -14.818        -13.282         -8.542         -1.280          1.421          9.765         10.581         20.282
         -2.225         -0.000         -2.225        -14.818        -13.281         -8.543         -1.279          1.420          9.768         10.577         20.284
         -2.220         -0.000         -2.220        -14.819        -13.279         -8.544         -1.279          1.419          9.771         10.573         20.286
         -2.215         -0.000         -2.215        -14.820        -13.278         -8.545         -1.279          1.419          9.774         10.569         20.288
         -2.210         -0.000         -2.210        -14.821        -13.276         -8.546         -1.278          1.419          9.777         10.565         20.290
         -2.204         -0.000         -2.204        -14.822        -13.274         -8.548         -1.278          1.419          9.780         10.561         20.291
         -2.199         -0.000         -2.199        -14.823        -13.272         -8.549         -1.279          1.419          9.783         10.557         20.293
         -2.194         -0.000         -2.194        -14.824        -13.270         -8.550         -1.279          1.419          9.787         10.552         20.295
         -2.189         -0.000         -2.189        -14.825        -13.268         -8.551         -1.279          1.420          9.790         10.548         20.296
         -2.183         -0.000         -2.183        -14.827        -13.266         -8.552         -1.280          1.421          9.793         10.544         20.298
         -2.178         -0.000         -2.178        -14.828        -13.263         -8.553         -1.281          1.422          9.796         10.540         20.300
         -2.173         -0.000         -2.173        -14.829        -13.261         -8.554         -1.281          1.423          9.799         10.536         20.301
         -2.168         -0.000         -2.168        -14.831        -13.258         -8.554         -1.282          1.424          9.803         10.532         20.302
         -2.162         -0.000         -2.162        -14.833        -13.256         -8.555         -1.284          1.425          9.806         10.527         20.304
         -2.157         -0.000         -2.157        -14.835        -13.253         -8.556         -1.285          1.427          9.809         10.523         20.305
         -2.152         -0.000         -2.152        -14.836        -13.250         -8.557         -1.286          1.428          9.812         10.519         20.306
         -2.147         -0.000         -2.147        -14.838        -13.247         -8.558         -1.288          1.430          9.816         10.515         20.307
         -2.142         -0.000         -2.142        -14.840        -13.244         -8.558         -1.289          1.432          9.819         10.510         20.308
         -2.136         -0.000         -2.136        -14.842        -13.241         -8.559         -1.291          1.434          9.822         10.506         20.309
         -2.131         -0.000         -2.131        -14.845        -13.238         -8.560         -1.293          1.437          9.826         10.502         20.310
         -2.126         -0.000         -2.126        -14.847        -13.234         -8.560         -1.295          1.439          9.829         10.497         20.311
         -2.121         -0.000         -2.121        -14.849        -13.231         -8.561         -1.297          1.442          9.832         10.493         20.311
         -2.115         -0.000         -2.115        -14.852        -13.227         -8.561         -1.299          1.445          9.836         10.489         20.312
         -2.110         -0.000         -2.110        -14.854        -13.224         -8.562         -1.302          1.448          9.839         10.484         20.313
         -2.105         -0.000         -2.105        -14.857        -13.220         -8.562         -1.304          1.451          9.843         10.480         20.313
         -2.100         -0.000         -2.100        -14.859        -13.216         -8.563         -1.307          1.454          9.846         10.476         20.314
         -2.094         -0.000         -2.094        -14.862        -13.213         -8.563         -1.310          1.457          9.850         10.471         20.314
         -2.089         -0.000         -2.089        -14.865        -13.209         -8.563         -1.313          1.461          9.853         10.467         20.314
         -2.084         -0.000         -2.084        -14.867        -13.205         -8.564         -1.316          1.465          9.857         10.463         20.314
         -2.079         -0.000         -2.079        -14.870        -13.201         -8.564         -1.319          1.469          9.860         10.458         20.315
         -2.073         -0.000         -2.073        -14.873        -13.197         -8.564         -1.322          1.473          9.864         10.454         20.315
         -2.068         -0.000         -2.068        -14.876        -13.192         -8.564         -1.325          1.477          9.867         10.449         20.315
         -2.063         -0.000         -2.063        -14.879        -13.188         -8.564         -1.329          1.481          9.871         10.445         20.315
         -2.058         -0.000         -2.058        -14.882        -13.184         -8.565         -1.332          1.485          9.874         10.441         20.315
         -2.053         -0.000         -2.053        -14.885        -13.179         -8.565         -1.336          1.490          9.878         10.436         20.314
