              k             kx             ky
          0.843          0.667          0.312        -14.624        -13.489         -8.635         -0.963          1.040          9.857         10.458         20.452
          0.847          0.667          0.308        -14.650        -13.463         -8.622         -1.008          1.093          9.839         10.481         20.429
          0.851          0.667          0.304        -14.675        -13.438         -8.608         -1.052          1.145          9.822         10.504         20.404
          0.854          0.667          0.300        -14.700        -13.413         -8.594         -1.096          1.197          9.804         10.528         20.379
          0.858          0.667          0.296        -14.724        -13.388         -8.579         -1.139          1.249          9.786         10.552         20.352
          0.862          0.667          0.293        -14.748        -13.365         -8.564         -1.181          1.300          9.767         10.577         20.324
          0.866          0.667          0.289        -14.771        -13.341         -8.547         -1.223          1.351          9.749         10.603         20.295
          0.870          0.667          0.285        -14.794        -13.318         -8.531         -1.265          1.402          9.730         10.629         20.265
          0.874          0.667          0.281        -14.817        -13.296         -8.513         -1.305          1.452          9.712         10.656         20.234
          0.878          0.667          0.277        -14.839        -13.275         -8.496         -1.346          1.502          9.693         10.683         20.202
          0.881          0.667          0.273        -14.861        -13.253         -8.477         -1.385          1.552          9.674         10.711         20.169
          0.885          0.667          0.269        -14.883        -13.233         -8.458         -1.424          1.601          9.655         10.739         20.135
          0.889          0.667          0.266        -14.904        -13.212         -8.439         -1.463          1.650          9.635         10.768         20.100
          0.893          0.667          0.262        -14.925        -13.193         -8.419         -1.501          1.698          9.616         10.797         20.064
          0.897          0.667          0.258        -14.945        -13.174         -8.398         -1.538          1.746          9.597         10.827         20.028
          0.901          0.667          0.254        -14.965        -13.155         -8.377         -1.575          1.794          9.577         10.857         19.990
          0.905          0.667          0.250        -14.985        -13.137         -8.356         -1.611          1.841          9.557         10.888         19.952
          0.908          0.667          0.246        -15.004        -13.120         -8.334         -1.647          1.887          9.538         10.919         19.912
          0.912          0.667          0.242        -15.023        -13.102         -8.312         -1.682          1.934          9.518         10.951         19.872
          0.916          0.667          0.239        -15.042        -13.086         -8.289         -1.716          1.979          9.499         10.983         19.831
          0.920          0.667          0.235        -15.060        -13.070         -8.266         -1.750          2.025          9.479         11.016         19.789
