              k             kx             ky
          1.188          0.633          0.000         -2.744          3.580
          1.195          0.627          0.000         -2.769          3.622
          1.201          0.620          0.000         -2.798          3.672
          1.208          0.613          0.000         -2.831          3.728
          1.215          0.607          0.000         -2.867          3.792
          1.221          0.600          0.000         -2.907          3.861
          1.228          0.593          0.000         -2.950          3.937
          1.235          0.587          0.000         -2.995          4.019
          1.241          0.580          0.000         -3.044          4.107
          1.248          0.573          0.000         -3.095          4.201
          1.255          0.567          0.000         -3.148          4.299
          1.261          0.560          0.000         -3.203          4.403
          1.268          0.553          0.000         -3.260          4.511
          1.275          0.547          0.000         -3.318          4.623
          1.281          0.540          0.000         -3.378          4.740
          1.288          0.533          0.000         -3.439          4.861
          1.295          0.527          0.000         -3.501          4.986
          1.301          0.520          0.000         -3.564          5.114
          1.308          0.513          0.000         -3.627          5.246
          1.315          0.507          0.000         -3.691          5.381
          1.321          0.500          0.000         -3.756          5.519
          1.328          0.493          0.000         -3.820          5.659
          1.335          0.487          0.000         -3.885          5.803
          1.341          0.480          0.000         -3.950          5.949
          1.348          0.473          0.000         -4.015          6.097
          1.355          0.467          0.000         -4.080          6.248
          1.361          0.460          0.000         -4.144          6.401
          1.368          0.453          0.000         -4.209          6.556
          1.375          0.447          0.000         -4.273          6.712
          1.381          0.440          0.000         -4.336          6.871
          1.388          0.433          0.000         -4.399          7.030
          1.395          0.427          0.000         -4.462          7.192
          1.401          0.420          0.000         -4.524          7.354
          1.408          0.413          0.000         -4.585          7.518
          1.415          0.407          0.000         -4.646          7.683
          1.421          0.400          0.000         -4.706          7.849
          1.428          0.393          0.000         -4.766          8.015
          1.435          0.387          0.000         -4.824          8.182
          1.441          0.380          0.000         -4.882          8.350
          1.448          0.373          0.000         -4.939          8.519
          1.455          0.367          0.000         -4.996          8.687
          1.461          0.360          0.000         -5.051          8.856
          1.468          0.353          0.000         -5.106          9.025
          1.475          0.347          0.000         -5.159          9.194
          1.481          0.340          0.000         -5.212          9.363
          1.488          0.333          0.000         -5.264          9.531
          1.495          0.327          0.000         -5.315          9.699
          1.501          0.320          0.000         -5.364          9.867
          1.508          0.313          0.000         -5.413         10.034
          1.515          0.307          0.000         -5.461         10.200
          1.521          0.300          0.000         -5.508         10.365
