             kx             ky    energy_plus   energy_minus
         -0.939          0.374         -3.221          4.436
         -0.939          0.394         -3.091          4.194
         -0.939          0.414         -2.968          3.970
         -0.939          0.434         -2.855          3.771
         -0.939          0.455         -2.757          3.602
         -0.939          0.475         -2.678          3.469
         -0.939          0.495         -2.623          3.376
         -0.939          0.515         -2.593          3.327
         -0.939          0.535         -2.593          3.327
         -0.939          0.556         -2.623          3.376
         -0.939          0.576         -2.681          3.473
         -0.939          0.596         -2.765          3.615
         -0.939          0.616         -2.872          3.800
         -0.939          0.636         -2.997          4.022
         -0.939          0.657         -3.136          4.278
         -0.939          0.677         -3.286          4.562
         -0.939          0.697         -3.443          4.870
         -0.939          0.717         -3.604          5.198
         -0.939          0.737         -3.767          5.542
         -0.939          0.758         -3.928          5.899
         -0.939          0.778         -4.087          6.266
         -0.939          0.798         -4.242          6.638
         -0.939          0.818         -4.393          7.013
         -0.939          0.838         -4.537          7.388
         -0.939          0.859         -4.674          7.759
         -0.939          0.879         -4.804          8.124
         -0.939          0.899         -4.926          8.480
         -0.939          0.919         -5.040          8.823
         -0.939          0.939         -5.145          9.150
         -0.939          0.960         -5.242          9.460
         -0.939          0.980         -5.329          9.748
         -0.939          1.000         -5.407         10.013
  
         -0.919         -1.000         -5.532         10.450
         -0.919         -0.980         -5.454         10.174
         -0.919         -0.960         -5.367          9.875
         -0.919         -0.939         -5.270          9.553
         -0.919         -0.919         -5.165          9.212
         -0.919         -0.899         -5.051          8.855
         -0.919         -0.879         -4.928          8.485
         -0.919         -0.859         -4.797          8.105
         -0.919         -0.838         -4.659          7.717
         -0.919         -0.818         -4.513          7.325
         -0.919         -0.798         -4.361          6.933
         -0.919         -0.778         -4.203          6.542
         -0.919         -0.758         -4.040          6.156
         -0.919         -0.737         -3.874          5.778
         -0.919         -0.717         -3.706          5.411
         -0.919         -0.697         -3.537          5.059
         -0.919         -0.677         -3.370          4.725
         -0.919         -0.657         -3.209          4.413
         -0.919         -0.636         -3.055          4.127
         -0.919         -0.616         -2.912          3.871
         -0.919         -0.596         -2.786          3.651
         -0.919         -0.576         -2.679          3.469
         -0.919         -0.556         -2.596          3.332
         -0.919         -0.535         -2.541          3.242
         -0.919         -0.515         -2.516          3.201
         -0.919         -0.495         -2.522          3.210
         -0.919         -0.475         -2.556          3.266
         -0.919         -0.455         -2.617          3.366
         -0.919         -0.434         -2.700          3.505
         -0.919         -0.414         -2.801          3.678
         -0.919         -0.394         -2.916          3.878
         -0.919         -0.374         -3.040          4.100
         -0.919         -0.354         -3.169          4.339
         -0.919         -0.333         -3.301          4.589
         -0.919         -0.313         -3.432          4.847
         -0.919         -0.293         -3.561          5.109
         -0.919         -0.273         -3.686          5.370
         -0.919         -0.253         -3.806          5.628
         -0.919         -0.232         -3.919          5.879
         -0.919         -0.212         -4.025          6.120
         -0.919         -0.192         -4.122          6.349
         -0.919         -0.172         -4.211          6.562
         -0.919         -0.152         -4.291          6.759
         -0.919         -0.131         -4.362          6.935
         -0.919         -0.111         -4.423          7.091
         -0.919         -0.091         -4.474          7.223
         -0.919         -0.071         -4.515          7.330
         -0.919         -0.051         -4.546          7.412
         -0.919         -0.030         -4.566          7.467
         -0.919         -0.010         -4.577          7.495
         -0.919          0.010         -4.577          7.495
         -0.919          0.030         -4.566          7.467
         -0.919          0.051         -4.546          7.412
         -0.919          0.071         -4.515          7.330
         -0.919          0.091         -4.474          7.223
         -0.919          0.111         -4.423          7.091
         -0.919          0.131         -4.362          6.935
         -0.919          0.152         -4.291          6.759
         -0.919          0.172         -4.211          6.562
         -0.919          0.192         -4.122          6.349
         -0.919          0.212         -4.025          6.120
         -0.919          0.232         -3.919          5.879
         -0.919          0.253         -3.806          5.628
         -0.919          0.273         -3.686          5.370
         -0.919          0.293         -3.561          5.109
         -0.919          0.313         -3.432          4.847
         -0.919          0.333         -3.301          4.589
         -0.919          0.354         -3.169          4.339
         -0.919          0.374         -3.040          4.100
         -0.919          0.394         -2.916          3.878
         -0.919          0.414         -2.801          3.678
         -0.919          0.434         -2.700          3.505
         -0.919          0.455         -2.617          3.366
         -0.919          0.475         -2.556          3.266
         -0.919          0.495         -2.522          3.210
         -0.919          0.515         -2.516          3.201
         -0.919          0.535         -2.541          3.242
         -0.919          0.556         -2.596          3.332
         -0.919          0.576         -2.679          3.469
         -0.919          0.596         -2.786          3.651
         -0.919          0.616         -2.912          3.871
         -0.919          0.636         -3.055          4.127
         -0.919          0.657         -3.209          4.413
         -0.919          0.677         -3.370          4.725
         -0.919          0.697         -3.537          5.059
         -0.919          0.717         -3.706          5.411
         -0.919          0.737         -3.874          5.778
         -0.919          0.758         -4.040          6.156
         -0.919          0.778         -4.203          6.542
         -0.919          0.798         -4.361          6.933
